,respid,sample,comp,int_date,lang,cregion,state,density,sfips,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,q20,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3foe@,bbsmart4,twitter_users,insta_users,facebook_users,snap_users,youtube_users,web1f,web1g,web1h,web1i,twitter_time,insta_time,facebok_time,snap_time,youtube_time,device1b,device1c,device1d,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
892,100965,2,1,190115,1,3,37,1,37021,S,2,1,1,1,2,1,2,,,,1,3,1,2,1,2,1,1,2,2,,3,2,2,1,2,1,2,2,2,2,,,1,,1,2,1,1,0,,,,57,1,3,1,2,1,,,,1,,6,1,,2,2,,,2,1.0259861,0.9233272
893,100966,2,1,190115,1,1,9,4,9003,S,2,2,1,1,2,2,1,2,,,1,2,,,,,,,,,,,2,2,2,2,1,2,1,2,2,,,,,5,1,1,2,25,1,2,1,73,1,5,2,2,1,,,,1,,9,3,2,2,2,,,1,0.6835112,1.123377
894,100968,2,1,190115,1,1,9,2,25027,R,2,1,1,1,1,1,1,2,,,1,1,,,,,,,,,,,2,2,1,1,1,2,1,2,2,,,1,3,2,2,1,1,12,1,2,2,36,1,4,1,2,1,,,,1,,7,3,1,6,2,,,2,1.4059453,1.2676507
895,100969,2,1,190115,1,1,36,5,36061,U,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,1,1,1,1,2,2,1,2,,3,1,2,2,2,1,2,2,2,2,2,35,5,8,1,2,3,,,,3,,5,2,,2,1,,,2,2.172749,1.7959316
896,100972,2,1,190115,1,1,23,2,23005,S,2,2,1,1,1,2,1,2,,,1,2,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,3,2,1,2,3,1,1,2,51,3,8,1,2,1,,,,1,,6,2,,3,1,,,2,0.8882225,0.7791572
897,100974,2,1,190115,1,3,45,3,45083,U,2,1,1,1,2,2,1,2,,,1,2,,,,,,,,,,,2,2,2,2,1,1,2,2,2,,,,,3,1,1,2,6,1,2,1,69,1,8,3,2,1,,,,1,,9,2,,2,2,,,1,0.4171403,0.5137221
898,100975,2,1,190120,1,3,51,5,24033,S,2,1,1,1,3,1,1,2,,,1,2,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,0,,,,22,5,6,1,1,7,,,,5,3,9,3,8,2,2,,,1,0.3878519,0.3621883
899,100976,2,1,190115,1,3,12,2,34005,R,2,2,1,1,2,1,1,2,,,1,2,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,2,,3,1,1,2,45,2,2,1,60,3,4,6,2,1,,,,1,,3,3,2,1,,,,2,1.1583124,1.2440521
900,100977,2,1,190115,1,3,48,5,48113,U,2,2,1,1,5,1,1,5,,,1,2,1,1,2,2,1,2,2,2,,,2,2,1,2,1,2,2,2,2,,,3,,3,1,1,2,2,1,2,2,73,1,3,3,2,1,,,,1,,6,4,1,6,5,,,1,1.5229247,2.0699671
901,100979,2,1,190115,1,2,17,5,17031,U,2,1,1,1,2,1,1,2,,,1,3,,,,,,,,,,,1,1,1,2,1,1,2,1,2,3,2,1,,1,1,1,1,4,1,2,1,48,1,6,1,2,1,,,,1,,4,2,,2,2,,,1,0.650355,0.6078127
902,100980,2,1,190115,1,3,47,4,47037,U,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,2,1,2,1,1,2,1,2,,,1,,3,2,1,1,1,2,2,1,25,6,6,1,2,1,,,,1,,6,2,,4,2,,,2,1.5179008,1.1904706
903,100981,2,1,190115,1,2,55,3,55009,S,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,1,1,1,1,1,2,1,2,2,1,1,1,1,3,2,1,1,25,1,2,2,19,6,3,4,2,1,,,,1,,5,3,1,4,4,,,2,1.6916748,1.3662259
904,100982,2,1,190115,1,4,4,3,27123,S,2,1,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,1,,,2,1,2,2,1,2,2,66,3,8,3,2,1,,,,1,,7,3,1,1,,,,2,0.3909399,0.4225407
905,100983,2,1,190115,1,2,19,1,19013,S,2,2,1,1,2,1,1,2,,,1,2,,,,,,,,,,,2,1,1,2,1,2,1,2,2,,3,1,,2,1,1,1,96,1,1,1,69,1,7,3,2,1,,,,1,,4,2,,2,2,,,1,0.4161694,0.6452529
906,100984,2,1,190115,1,2,19,1,19145,R,2,1,1,1,1,1,2,,,,1,1,1,2,2,2,2,1,1,2,,5,1,1,2,1,2,2,2,2,2,4,3,,1,,2,1,1,15,1,2,1,20,6,3,1,2,1,,,,1,,5,1,,2,2,,,2,0.913496,0.722133
907,100987,2,1,190115,1,2,27,5,27053,S,2,2,1,1,2,1,1,2,,,1,2,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,1,,5,1,1,2,52,1,1,1,67,1,4,3,2,1,,,,1,,9,3,2,2,2,,,1,0.9522349,1.5393091
908,100988,2,1,190115,1,3,48,1,48029,S,2,1,1,1,2,1,1,2,,,1,3,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,3,1,1,2,4,1,2,1,70,1,8,3,2,1,,,,1,,9,3,1,2,2,,,1,0.3905665,0.5039956
909,100989,2,1,190115,1,3,21,2,21059,U,2,1,1,1,2,1,1,2,,,1,2,,,,,,,,,,,2,2,1,2,1,2,2,1,2,,,1,,2,1,1,1,98,2,2,1,64,1,6,3,2,1,,,,1,,3,1,,2,2,,,2,0.4390651,0.3621883
910,100990,2,1,190115,2,1,34,5,34013,S,2,1,1,1,3,2,2,,,,1,1,2,2,2,2,1,2,2,1,NO LO NECESITA,6,2,2,2,2,1,1,2,2,2,,,,,3,2,2,2,0,,,,60,6,3,1,1,7,,,,5,3,4,2,,3,3,,,2,1.0766021,0.918096
