title,year_release,subject,type_of_subject,subject_race,person_of_color,subject_sex
The Adventures of Marco Polo,1938,Marco Polo,Historical,White,No,Male
The Adventures of Mark Twain,1944,Samuel Clemens,Author,White,No,Male
The Assassination of Jesse James by the Coward Robert Ford,2007,Jesse James ,Criminal,White,No,Male
The Assassination of Trotsky,1972,Leon Trotsky,Activist,White,No,Male
The Babe,1992,Babe Ruth,Athlete,White,No,Male
The Babe Ruth Story,1948,Babe Ruth,Athlete,White,No,Male
The Bang Bang Club,2010,Joao Silva,Media,White,No,Male
The Bang Bang Club,2010,Kevin Carter,Media,White,No,Male
The Barretts of Wimpole Street,1934,Elizabeth Barrett,Author,Mutliracial,No,Female
The Barretts of Wimpole Street,1934,Robert Browning,Author,Mutliracial,No,Male
The Basketball Diaries,1995,Jim Carroll,Author,White,No,Male
The Benny Goodman Story,1956,Benny Goodman,Musician,White,No,Male
The Better Angels,2014,Abraham Lincoln,Government,White,No,Male
The Blind Side,2009,Michael Oher,Athlete,Black,Yes,Male
The Boy in Blue,1986,Ned Hanlan,Athlete,White,No,Male
The Brittany Murphy Story,2014,Brittany Murphy,Actress,White,No,Female
The Buddy Holly Story,1978,Buddy Holly,Singer,Mutliracial,No,Male
The Chameleon,2010,Frederic Fortin,Criminal,Mutliracial,Yes,Male
The Color of Freedom,2007,James Gregory,Other,White,No,Male
The Conqueror,1956,Genghis Khan,Military,Asian,Yes,Male
The Countess,2009,Erzebet Bathory,Historical,White,No,Female
The CourtMartial of Billy Mitchell,1955,Billy Mitchell,Military,White,No,Male
The Desert Fox  The Story of Rommel,1951,Erwin Rommel,Military,White,No,Male
The Diary of Anne Frank,1959,Anne Frank,Other,White,No,Female
The Diving Bell and the Butterfly,2007,JeanDominique Bauby,Media,White,No,Male
The Doors,1991,Jim Morrison,Singer,White,No,Male
The Duchess,2008,Georgiana Cavendish,Other,White,No,Female
The Edge of Love,2008,Dylan Thomas,Author,White,No,Male
The Elephant Man,1980,Joseph Merrick ,Other,White,No,Male
The Express,2008,Ernie Davis,Athlete,Black,Yes,Male
The Fifth Estate,2013,Julian Assange,Other,White,No,Male
The Fighter,2010,Micky Ward,Athlete,White,No,Male
The First Grader,2010,Kimani Nganga Maruge,Other,Black,Yes,Male
The Frozen Ground,2013,Robert Hansen,Criminal,White,No,Male
The Gallant Hours,1960,William F Bull Halsey Jr,Military,White,No,Male
The Gaul,2001,Vercingetorix,Historical,White,No,Male
The General,1998,Martin Cahill,Criminal,White,No,Male
The Girl in the Red Velvet Swing,1955,Evelyn Nesbit,Actress,White,No,Female
The Glenn Miller Story,1954,Glenn Miller,Musician,White,No,Male
The Great Caruso,1951,Enrico Caruso,Musician,White,No,Male
The Great Debaters,2007,Melvin Tolson,Academic,Black,Yes,Male
The Great Waltz,1938,Johann Strauss II,Musician,White,No,Male
The Great Ziegfeld,1936,Florenz Ziegfeld,Musician,White,No,Male
The Greatest,1977,Muhammad Ali,Athlete,Black,Yes,Male
The Greatest Story Ever Told,1965,Jesus,Historical,Middle Eastern,No,Male
